代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,Market Cap,市盈率,PB,5日的区间涨跌幅,PEG
sh603733,仙鹤股份,12.87,1.07,9.068,12.86,12.87,11.8,11.9,12.97,11.53,7267600.0,89762816.0,9085905341.369999,15.86,1.34,-0.026475037821482708,-53.11255813953488
sh601158,重庆水务,5.75,0.23,4.167,5.74,5.75,5.52,5.49,5.8,5.47,23063300.0,129843768.0,27600000000.0,15.88,1.6,-0.01032702237521508,-227.61333333333357
sz300371,汇中股份,7.18,-0.18,-2.446,7.18,7.19,7.36,7.12,7.41,6.49,7855464.0,54351353.0,1444740185.28,15.88,1.36,-0.23126338329764456,-53.38995288147879
sh601033,永兴股份,13.18,0.67,5.356,13.17,13.18,12.51,12.39,13.37,12.1,19334544.0,249959340.0,11862000000.0,15.98,1.53,-0.08914996544574989,-207.73999999999984
sh601949,中国出版,6.55,0.1,1.55,6.55,6.56,6.45,6.06,6.73,5.81,52664913.0,326794871.0,12470990753.699999,16.03,1.43,-0.17088607594936714,-100.27525547445255
sh603507,振江股份,19.65,1.28,6.968,19.35,19.65,18.37,18.02,19.65,17.51,5574827.0,102843722.0,2790907853.1,16.19,1.19,-0.04750363548230734,-32.83605633802817
sz300690,双一科技,11.23,0.45,4.174,11.21,11.23,10.78,10.69,11.51,9.94,6165827.0,65445420.0,1856868360.3700001,16.23,1.33,-0.15309200603318246,-35.62682926829268
sh603711,香飘飘,11.6,0.03,0.259,11.6,11.61,11.57,10.98,12.04,10.42,8102086.0,91032099.0,4764651280.0,16.25,1.55,-0.1642651296829972,-861.2499999999992
sz000935,四川双马,16.22,0.72,4.645,16.19,16.22,15.5,15.18,16.54,15.17,4001201.0,63272233.0,12383002201.259998,16.25,1.73,0.006203473945409297,-96.02272727272728
sh603280,南方路机,16.5,-0.4,-2.367,16.5,16.51,16.9,16.13,17.39,15.21,2991734.0,47724779.0,1788710005.5,16.26,1.46,-0.1590214067278288,-57.51222222222225
sz300219,鸿利智汇,5.23,0.13,2.549,5.23,5.24,5.1,4.95,5.41,4.7,21721136.0,109350203.0,3702544536.38,16.28,1.45,-0.15916398713826357,-47.58769230769231
sh600517,国网英大,4.36,0.38,9.548,4.35,4.36,3.98,3.87,4.38,3.87,28249036.0,117941285.0,24932379843.84,16.3,1.26,-0.018018018018018032,-129.1925925925926
sh603230,内蒙新华,12.54,-1.39,-9.978,0.0,12.54,13.93,12.54,12.94,12.54,21718000.0,274078025.0,4433178420.0,16.35,1.71,-0.14925373134328365,-140.61000000000004
sh603380,易德龙,15.57,0.76,5.132,15.56,15.57,14.81,14.57,15.97,13.64,3402132.0,50323352.0,2504962323.0,16.36,1.89,-0.1082474226804124,-77.43733333333337
sh601108,财通证券,7.39,0.54,7.883,7.38,7.39,6.85,6.8,7.42,6.72,60864334.0,433277031.0,34317230751.82,16.4,1.03,-0.0053835800807537065,-32.8
sh603787,新日股份,7.91,-0.23,-2.826,7.9,7.91,8.14,7.73,8.25,7.35,6846377.0,52486467.0,1820437378.9,16.48,1.17,-0.18954918032786883,1.3453061224489795
sh603331,百达精工,8.4,0.21,2.564,8.4,8.41,8.19,8.0,8.76,7.37,6675137.0,52994056.0,1700736542.4,16.54,1.35,-0.15322580645161285,-61.4342857142857
sz000960,锡业股份,11.74,0.72,6.534,11.73,11.74,11.02,10.8,11.79,10.73,31023307.0,351811938.0,19321714916.48,16.54,1.1,-0.06677265500794911,-31.68068934646374
sh603151,邦基科技,9.39,-0.67,-6.66,9.39,9.4,10.06,9.21,9.84,9.05,3428191.0,31769365.0,1577520000.0,16.66,1.3,-0.22268211920529796,-76.26826740506328
